
Minimum & Actial costs of Hospitals in the COS and C technologies

DMU            C            COS         NC=CIS=WACM     Actual Cost
j197       2363.919       2821.000       2821.000       2821.000
j198       2760.529       3176.003       3176.003       3176.003
j199       1495.457       1626.001       1626.001       1626.001
j200        943.637       1311.529       1874.070       2146.001
j201       1557.659       2312.170       3119.999       3119.999
j202       1951.363       2519.714       2712.003       2712.003
j203       1078.241       1432.189       1947.000       1947.000
j204       1165.210       1736.416       3005.918       3115.997
j205        582.225       1384.819       1471.129       1655.998
j206       2856.867       3350.002       3350.002       3350.002
j207       2238.080       3770.003       3770.003       3770.003
j208       3187.798       3840.997       3840.997       3840.997
j209       2624.037       3402.000       3402.000       3402.000
j210       1602.715       2392.000       2392.000       2392.000
j211       2037.942       2321.000       2321.000       2321.000
j212        837.514       1334.058       1498.383       2555.999
j213       2580.002       2580.002       2580.002       2580.002
j214       2095.038       2979.002       2979.002       2979.002
j215       2236.751       3177.991       4540.008       4540.008
j216        857.205       1246.209       1511.680       2255.002
j217       1800.942       2454.184       2736.117       3219.000
j218       3227.727       4100.001       4100.001       4100.001
j219       2396.202       3046.567       3514.000       3514.000
j220       1626.700       2091.564       2166.999       2166.999
j221       1642.679       2303.660       2303.660       2423.998
j222       1412.774       2055.716       2217.999       2217.999
j223       1092.918       1479.747       2016.272       2050.000
j224       1234.078       1728.217       1817.690       2142.999
j225       1791.871       2485.683       2815.995       2815.995
j226       1659.910       2105.459       2529.997       2529.997
j227       1049.524       1221.090       1851.568       2053.998
j228       1806.859       2101.999       2101.999       2101.999
j229       1550.839       1897.551       2111.000       2111.000
j230       1032.102       1369.274       1987.467       2957.001
j231       2508.197       3255.006       3255.006       3255.006
j232       2709.460       4016.995       4016.995       4016.995
j233       2172.381       2586.001       2586.001       2586.001
j234       1932.635       2476.001       2476.001       2476.001
j235       4066.997       4066.997       4066.997       4066.997
j236        932.055       1376.338       2226.000       2226.000
j237       1717.394       2472.503       2687.006       2687.006
j238       2712.149       3151.001       3151.001       3151.001
j239       2700.371       2705.000       2705.000       2705.000
j240       2310.998       2310.998       2310.998       2310.998
j241       1757.450       2145.001       2145.001       2145.001
j242        585.169        791.001        791.001        791.001
j243       2850.205       3674.004       3674.004       3674.004
